year,value,subseries_id,source_id,units,month
1851,4.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1851,0.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1851,0.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1851,-0.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1851,0.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1851,1.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1852,0.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1852,1.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1852,2.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1852,2.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1852,3.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1852,3.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1852,4.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1852,4.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1852,5.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1852,6.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1852,7.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1852,9.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1853,9.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1853,8.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1853,8.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1853,8.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1853,8.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1853,7.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1853,8.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1853,8.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1853,8.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1853,9.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1853,9.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1853,12.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1854,12.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1854,10.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1854,14.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1854,11.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1854,10.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1854,10.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1854,9.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1854,5.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1854,1.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1854,-2.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
